LIST AS ON,10-Jan-13,,,
INDEX NAME,SCRIP CODE,NAME, FREE FLOAT FACTOR ,INDUSTRY
BSE Small-Cap,500207,INDO RMA SYN, 0.40 ,Textile
BSE Small-Cap,500245,KIRL FERE IN, 0.45 ,"Metal,Metal Products & Mining"
BSE Small-Cap,501179,OSCAR INVEST, 0.35 ,Finance
BSE Small-Cap,504614,SARDA ENMIN, 0.35 ,"Metal,Metal Products & Mining"
BSE Small-Cap,504966,TINPLATE COM, 0.30 ,"Metal,Metal Products & Mining"
BSE Small-Cap,505010,AUTOMAT AXLE, 0.30 ,Transport Equipments
BSE Small-Cap,505854,TRF LIMITED, 0.70 ,Capital Goods
BSE Small-Cap,506109,GENE INT COR, 0.45 ,Information Technology
BSE Small-Cap,506146,VISAGAR POL, 0.45 ,Finance
BSE Small-Cap,506197,BLISSGVS PH, 0.40 ,FMCG
BSE Small-Cap,507892,WINSOMEDJ, 0.45 ,Consumer Durables
BSE Small-Cap,523618,DREDG CORP I, 0.25 ,Capital Goods
BSE Small-Cap,531266,VST TILLER T, 0.50 ,Transport Equipments
BSE Small-Cap,531687,KARUTURI GLO, 0.70 ,Agriculture
BSE Small-Cap,532221,SONAT SOFTWR, 0.65 ,Information Technology
BSE Small-Cap,532268,ACCELYA, 0.30 ,Information Technology
BSE Small-Cap,532356,TRIVENI ENGI, 0.35 ,Agriculture
BSE Small-Cap,532767,GAYATRI PROJ, 0.50 ,Capital Goods
BSE Small-Cap,532980,GOKUL REFOIL, 0.30 ,FMCG
BSE Small-Cap,534756,TARA JEWELS, 0.30 ,Consumer Durables
BSE Small-Cap,500039,BANCO PROD I, 0.35 ,Transport Equipments
BSE Small-Cap,500243,KIRL INDUS, 0.40 ,Capital Goods
BSE Small-Cap,500314,ORIEN.HOTEL., 0.35 ,Tourism
BSE Small-Cap,500463,AGCNET, 0.25 ,Information Technology
BSE Small-Cap,500465,VARUN SHIPNG, 0.65 ,Transport Services
BSE Small-Cap,502090,SAGAR CEMENT, 0.30 ,Housing Related
BSE Small-Cap,503699,GEOD LTD, 0.75 ,Information Technology
BSE Small-Cap,505720,HERCULES HOI, 0.35 ,Capital Goods
BSE Small-Cap,505800,RANE HOLDIN, 0.55 ,Finance
BSE Small-Cap,506590,PHIL CAR BLK, 0.50 ,Chemical & Petrochemical
BSE Small-Cap,507410,WALCHAND IN, 0.45 ,Capital Goods
BSE Small-Cap,507747,TTK HEALTHCA, 0.35 ,Healthcare
BSE Small-Cap,509525,EMPIRE IND., 0.35 ,Diversified
BSE Small-Cap,509715,JAYSHRE TEA*, 0.45 ,FMCG
BSE Small-Cap,512047,ROYAL IND, 0.55 ,Consumer Durables
BSE Small-Cap,521248,KITEX GARMEN, 0.50 ,Textile
BSE Small-Cap,522249,MAYU UNIQUOT, 0.30 ,Textile
BSE Small-Cap,523716,ASHIANA HOU, 0.35 ,Housing Related
BSE Small-Cap,526367,GANESH HOU C, 0.45 ,Housing Related
BSE Small-Cap,531548,SOMANY CRAM, 0.40 ,Miscellaneous
BSE Small-Cap,531882,KWA DIAR (I), 0.30 ,FMCG
BSE Small-Cap,532399,RELMEDIA, 0.40 ,Media & Publishing
BSE Small-Cap,532460,PONNI ERODE, 0.50 ,Agriculture
BSE Small-Cap,532479,ISMT LTD, 0.45 ,"Metal,Metal Products & Mining"
BSE Small-Cap,532606,PAREKH ALUM, 0.65 ,"Metal,Metal Products & Mining"
BSE Small-Cap,532684,EVEREST KANT, 0.45 ,Capital Goods
BSE Small-Cap,532691,TULIP TELE, 0.35 ,Telecom
BSE Small-Cap,532721,VISA STEEL, 0.30 ,"Metal,Metal Products & Mining"
BSE Small-Cap,532734,GODAWARI POW, 0.40 ,"Metal,Metal Products & Mining"
BSE Small-Cap,532851,INSECTCID, 0.30 ,Agriculture
BSE Small-Cap,532889,K.P.R. MILL, 0.30 ,Textile
BSE Small-Cap,532902,CONSOL CONST, 0.50 ,Housing Related
BSE Small-Cap,532908,SHARON BIO, 0.40 ,Healthcare
BSE Small-Cap,533152,MBL INFRA, 0.45 ,Capital Goods
BSE Small-Cap,533644,MB SWITCH, 0.30 ,Capital Goods
BSE Small-Cap,500052,BHAN ENG POL, 0.55 ,Chemical & Petrochemical
BSE Small-Cap,500123,ELANTAS, 0.15 ,Chemical & Petrochemical
BSE Small-Cap,500336,SUR.ROSH LTD, 0.40 ,Diversified
BSE Small-Cap,500780,ZUARIGLOB, 0.45 ,Agriculture
BSE Small-Cap,505075,SETCO AUTO, 0.40 ,Transport Equipments
BSE Small-Cap,506803,FULFORD IND, 0.45 ,Healthcare
BSE Small-Cap,512531,ST TRAD CORP, 0.10 ,Miscellaneous
BSE Small-Cap,513262,STEEL STRI W, 0.45 ,Transport Equipments
BSE Small-Cap,520056,SUNDARAM CLA, 0.20 ,Transport Equipments
BSE Small-Cap,520057,SONA KOYO ST, 0.50 ,Transport Equipments
BSE Small-Cap,523385,NILKAMAL L, 0.40 ,Consumer Durables
BSE Small-Cap,523736,DPTL, 0.35 ,FMCG
BSE Small-Cap,530239,SUVEN LIFE, 0.40 ,Healthcare
BSE Small-Cap,532382,BALAJI TELE, 0.35 ,Media & Publishing
BSE Small-Cap,532390,TAJGVK HOTEL, 0.30 ,Tourism
BSE Small-Cap,532746,UNITY INFRA, 0.40 ,Housing Related
BSE Small-Cap,532770,HANUNG TOYS, 0.35 ,Consumer Durables
BSE Small-Cap,532890,TAKE SOLUT, 0.40 ,Information Technology
BSE Small-Cap,533638,FLEXITUFF, 0.30 ,Chemical & Petrochemical
BSE Small-Cap,500119,DHAMPUR SUGA, 0.45 ,Agriculture
BSE Small-Cap,500160,GTL LIMITED, 0.30 ,Telecom
BSE Small-Cap,502450,SESHA PAPER, 0.45 ,Miscellaneous
BSE Small-Cap,504918,SANDUR MAN, 0.30 ,"Metal,Metal Products & Mining"
BSE Small-Cap,506655,SUDARSHAN CH, 0.40 ,Chemical & Petrochemical
BSE Small-Cap,517271,HBL P SYS, 0.30 ,Capital Goods
BSE Small-Cap,520051,JAMNA AUTO I, 0.30 ,Transport Equipments
BSE Small-Cap,522285,JAY NECO IND, 0.25 ,"Metal,Metal Products & Mining"
BSE Small-Cap,523207,KOKUYOCMLN, 0.40 ,Miscellaneous
BSE Small-Cap,523398,HITACHI HOME, 0.35 ,Consumer Durables
BSE Small-Cap,524226,GUJ AMB EXP, 0.35 ,FMCG
BSE Small-Cap,524446,SABE ORG GUJ, 0.30 ,Chemical & Petrochemical
BSE Small-Cap,527001,ASHA MINECHE, 0.35 ,"Metal,Metal Products & Mining"
BSE Small-Cap,531497,MADHUCON PRO, 0.45 ,Housing Related
BSE Small-Cap,532141,ANDHR CEMENT, 0.45 ,Housing Related
BSE Small-Cap,532366,PNB GILTS LD, 0.30 ,Finance
BSE Small-Cap,532539,MINDA IND, 0.35 ,Transport Equipments
BSE Small-Cap,532876,EVERONN, 0.40 ,Miscellaneous
BSE Small-Cap,532883,ZYLOG SYSTEM, 0.60 ,Information Technology
BSE Small-Cap,532932,MANAKSIA LTD, 0.40 ,Miscellaneous
BSE Small-Cap,533156,VASCON ENG, 0.25 ,Housing Related
BSE Small-Cap,533158,THANGAMAYIL, 0.30 ,Consumer Durables
BSE Small-Cap,533260,CAREERP, 0.40 ,Miscellaneous
BSE Small-Cap,533704,ESSAR SHIP, 0.20 ,Transport Services
BSE Small-Cap,534184,NORL, 0.55 ,Oil & Gas
BSE Small-Cap,500068,DISA INDIA, 0.25 ,Capital Goods
BSE Small-Cap,500166,GOODRICK GRP, 0.30 ,FMCG
BSE Small-Cap,500235,KALYANI ST., 0.45 ,"Metal,Metal Products & Mining"
BSE Small-Cap,503675,WAGEND, 0.95 ,Finance
BSE Small-Cap,503811,SIYAR SILK M, 0.35 ,Textile
BSE Small-Cap,504741,INDIA HUME P, 0.35 ,Housing Related
BSE Small-Cap,504864,ORISA SP IRS, 0.30 ,"Metal,Metal Products & Mining"
BSE Small-Cap,505726,IFB INDUSTRI, 0.25 ,Miscellaneous
BSE Small-Cap,506184,KANANI IND, 0.30 ,Finance
BSE Small-Cap,509496,ITD CEM, 0.35 ,Housing Related
BSE Small-Cap,512481,POLYTEX(P), 0.30 ,Other
BSE Small-Cap,517206,LUMAX INDUST, 0.30 ,Transport Equipments
BSE Small-Cap,522263,JMC PROJECT, 0.35 ,Housing Related
BSE Small-Cap,523754,EPC INDUSTRI, 0.25 ,Chemical & Petrochemical
BSE Small-Cap,526049,LAKSHMI COT, 0.55 ,Textile
BSE Small-Cap,526668,KAMAT HOTE I, 0.50 ,Tourism
BSE Small-Cap,530367,NRB BEARING, 0.30 ,Capital Goods
BSE Small-Cap,531209,NUCLEU SOF E, 0.45 ,Information Technology
BSE Small-Cap,532034,PARIKH HERBL, 0.70 ,FMCG
BSE Small-Cap,532468,KAMAHOLDING, 0.25 ,Finance
BSE Small-Cap,533008,OCL IRON&ST, 0.25 ,"Metal,Metal Products & Mining"
BSE Small-Cap,533104,GLOBUS SPR, 0.35 ,FMCG
BSE Small-Cap,533143,RBN, 0.30 ,Media & Publishing
BSE Small-Cap,533227,ASIAN HTL E, 0.45 ,Tourism
BSE Small-Cap,533304,CMAHENDRA, 0.25 ,Consumer Durables
BSE Small-Cap,500298,NATION PEROX, 0.30 ,Chemical & Petrochemical
BSE Small-Cap,500313,OIL COUNTR T, 0.40 ,Capital Goods
BSE Small-Cap,500655,GARWARE POLY, 0.45 ,Miscellaneous
BSE Small-Cap,503169,RUBY MILLS L, 0.30 ,Textile
BSE Small-Cap,505872,WPIL LTD, 0.30 ,Capital Goods
BSE Small-Cap,506016,JRIIIL, 0.70 ,Capital Goods
BSE Small-Cap,508969,SULABHA ENGG, 0.20 ,Other
BSE Small-Cap,520043,MUNJAL SHOW, 0.35 ,Transport Equipments
BSE Small-Cap,520086,SICAL LOG, 0.25 ,Transport Services
BSE Small-Cap,521064,TRIDENT, 0.35 ,Textile
BSE Small-Cap,523127,EIH ASOCIATI, 0.25 ,Tourism
BSE Small-Cap,530059,MAH SH UMA M, 0.30 ,Textile
BSE Small-Cap,530543,MARG LTD, 0.50 ,Housing Related
BSE Small-Cap,532671,JYOTHYCONS, 0.20 ,FMCG
BSE Small-Cap,532759,ATLANTA, 0.30 ,Capital Goods
BSE Small-Cap,532945,SHRIRAM EPC, 0.30 ,Capital Goods
BSE Small-Cap,532976,JAIBALA IND, 0.40 ,"Metal,Metal Products & Mining"
BSE Small-Cap,534615,NECC LTD, 0.30 ,Transport Services
BSE Small-Cap,500023,ASIANHOTNR, 0.25 ,Tourism
BSE Small-Cap,500147,CMI FPE, 0.25 ,"Metal,Metal Products & Mining"
BSE Small-Cap,500402,SPMLINFRA, 0.30 ,Capital Goods
BSE Small-Cap,502219,BOROSIL GL W, 0.30 ,Consumer Durables
BSE Small-Cap,505163,ZF STEERING, 0.30 ,Transport Equipments
BSE Small-Cap,505412,WENDT INDIA, 0.25 ,Miscellaneous
BSE Small-Cap,508494,WARREN TEA L, 0.20 ,FMCG
BSE Small-Cap,517421,BFLYGANDHI, 0.15 ,Consumer Durables
BSE Small-Cap,519105,AVT NATU PRO, 0.30 ,FMCG
BSE Small-Cap,520145,FAIRFD ATLAS, 0.20 ,Transport Equipments
BSE Small-Cap,524480,RIDD SID GLU, 0.30 ,FMCG
BSE Small-Cap,526173,ANDREW YUL C, 0.10 ,FMCG
BSE Small-Cap,531092,OM MET INFRA, 0.35 ,"Metal,Metal Products & Mining"
BSE Small-Cap,532287,ENTEGRA LTD, 0.30 ,Capital Goods
BSE Small-Cap,532320,VAARAD, 0.15 ,Finance
BSE Small-Cap,532482,GRANULES IND, 0.25 ,Healthcare
BSE Small-Cap,532687,REPRO INDIA, 0.35 ,Miscellaneous
BSE Small-Cap,532762,ACTION CONST, 0.35 ,Capital Goods
BSE Small-Cap,532811,AHLUWALIA CO, 0.30 ,Housing Related
BSE Small-Cap,532826,RAJ TELE, 0.30 ,Media & Publishing
BSE Small-Cap,533239,PRAKASHSTL, 0.35 ,Capital Goods
BSE Small-Cap,500089,DIC INDIA, 0.30 ,Chemical & Petrochemical
BSE Small-Cap,500150,FOSECO INDA, 0.15 ,Chemical & Petrochemical
BSE Small-Cap,505890,KENNAMETAL, 0.15 ,Capital Goods
BSE Small-Cap,517496,RICOH INDI L, 0.30 ,Miscellaneous
BSE Small-Cap,523610,ITI LIMITED, 0.10 ,Telecom
BSE Small-Cap,524448,AHLCON PAREN, 0.25 ,Healthcare
BSE Small-Cap,526725,SANDESH LTD, 0.25 ,Media & Publishing
BSE Small-Cap,526807,SEAMEC LTD, 0.25 ,Capital Goods
BSE Small-Cap,530299,KOTHARI PRD, 0.25 ,Miscellaneous
BSE Small-Cap,532942,KNR CONST, 0.20 ,Capital Goods
BSE Small-Cap,503101,MARATHON NEX, 0.15 ,Housing Related
BSE Small-Cap,503691,SAHARA ONE, 0.20 ,Media & Publishing
BSE Small-Cap,515043,SAINT-GOBAIN, 0.15 ,Housing Related
BSE Small-Cap,526733,SUASHIS DIAM, 0.15 ,Consumer Durables
BSE Small-Cap,507155,JAGATJI INDU, 0.10 ,FMCG
BSE Small-Cap,532630,GOKALDAS EXP, 0.15 ,Textile
BSE Small-Cap,532631,FAME INDIA L, 0.05 ,Media & Publishing
DOLLEX-100,500002,ABB LTD, 0.25 ,Capital Goods
BSE REALTY INDEX,532868,DLF LIMITED, 0.25 ,Housing Related
BSE REALTY INDEX,507878,UNITECH LTD, 0.55 ,Housing Related
BSE REALTY INDEX,532873,HOUSING DEV, 0.65 ,Housing Related
BSE REALTY INDEX,533273,OBEROI REAL, 0.25 ,Housing Related
BSE REALTY INDEX,532832,INDBUL REAL, 0.50 ,Housing Related
BSE REALTY INDEX,532784,SOBHA DEV, 0.40 ,Housing Related
BSE REALTY INDEX,533150,GODREJ PROP, 0.30 ,Housing Related
BSE REALTY INDEX,503100,PHOENIX MILL, 0.35 ,Housing Related
BSE REALTY INDEX,533274,PRESTIGE, 0.20 ,Housing Related
BSE REALTY INDEX,515055,ANANTRAJ, 0.40 ,Housing Related
BSE REALTY INDEX,532780,PARSVNATH, 0.30 ,Housing Related
BSE POWER INDEX,532555,NTPC LTD, 0.20 ,Power
BSE POWER INDEX,500103,BHEL, 0.35 ,Capital Goods
BSE POWER INDEX,532898,POWER GRID, 0.35 ,Power
BSE POWER INDEX,500400,TATA POWER, 0.70 ,Power
BSE POWER INDEX,500390,REL INFRA, 0.55 ,Power
BSE POWER INDEX,500550,SIEMENS LTD, 0.30 ,Capital Goods
BSE POWER INDEX,532939,RPOWER, 0.20 ,Power
BSE POWER INDEX,533098,NHPC, 0.15 ,Power
BSE POWER INDEX,500093,CROMPTON GRE, 0.60 ,Capital Goods
BSE POWER INDEX,533096,ADANI POWER, 0.30 ,Power
BSE POWER INDEX,500002,ABB LTD, 0.25 ,Capital Goods
BSE POWER INDEX,532779,TORNT POWER, 0.40 ,Power
BSE POWER INDEX,500411,THERMAX LMTD, 0.40 ,Capital Goods
BSE POWER INDEX,533148,JSW ENERGY, 0.25 ,Power
BSE POWER INDEX,532754,GMR INFRASTR, 0.30 ,Power
BSE POWER INDEX,500084,CESC LTD, 0.50 ,Power
BSE POWER INDEX,532667,SUZLONENERGY, 0.50 ,Capital Goods
BSE POWER INDEX,532778,LANCO INFRA, 0.30 ,Power
BSE IPO Index,534816,BH INFRATEL, 0.10 ,Telecom
BSE IPO Index,533519,LNT FH, 0.20 ,Finance
BSE IPO Index,533398,MUTHOOT FIN, 0.20 ,Finance
BSE IPO Index,534091,MCX LTD, 0.20 ,Finance
BSE IPO Index,533400,FUTURE VENT, 0.65 ,Finance
BSE IPO Index,534804,CARE RATING, 0.35 ,Finance
BSE IPO Index,534809,PC JEWELLER, 0.25 ,Consumer Durables
BSE IPO Index,533540,TREE HOUSE, 0.70 ,Miscellaneous
BSE IPO Index,533412,AANJANEYA, 0.45 ,Healthcare
BSE IPO Index,533402,INNOV IND, 0.55 ,"Metal,Metal Products & Mining"
BSE IPO Index,534369,TBZ LTD, 0.25 ,Consumer Durables
BSE IPO Index,533344,PTCFIN SER, 0.40 ,Finance
BSE IPO Index,533553,TD POWER, 0.35 ,Capital Goods
BSE IPO Index,534425,SPECIALITY R, 0.30 ,Tourism
BSE IPO Index,534309,NBCC LTD, 0.10 ,Housing Related
BSE IPO Index,533343,LOVABLE, 0.35 ,Textile
BSE IPO Index,533569,SRS LIMITED, 0.30 ,Consumer Durables
BSE IPO Index,534312,MT EDUCARE, 0.35 ,Miscellaneous
BSE IPO Index,533332,SUDAR, 0.45 ,Textile
BSE IPO Index,534756,TARA JEWELS, 0.30 ,Consumer Durables
BSE IPO Index,533644,MB SWITCH, 0.30 ,Capital Goods
BSE IPO Index,533638,FLEXITUFF, 0.30 ,Chemical & Petrochemical
BSE IPO Index,533304,CMAHENDRA, 0.25 ,Consumer Durables
BSE IPO Index,533605,PRAKASH CON, 0.35 ,Capital Goods
BSE IPO Index,533506,INVENTURE, 0.55 ,Finance
BSE IPO Index,533469,BIRLAPACIFIC, 0.70 ,Healthcare
BSE IPO Index,533330,ACROPET TEC, 0.55 ,Information Technology
BSE TASIS Shariah 50 Index,500325,RELIANCE, 0.55 ,Oil & Gas
BSE TASIS Shariah 50 Index,532540,TCS LTD., 0.30 ,Information Technology
BSE TASIS Shariah 50 Index,500696,HIND UNI LT, 0.50 ,FMCG
BSE TASIS Shariah 50 Index,532454,BHARTI ARTL, 0.35 ,Telecom
BSE TASIS Shariah 50 Index,532977,BAJAJ AUTO, 0.50 ,Transport Equipments
BSE TASIS Shariah 50 Index,500470,TATA STL, 0.70 ,"Metal,Metal Products & Mining"
BSE TASIS Shariah 50 Index,507685,WIPRO LTD., 0.25 ,Information Technology
BSE TASIS Shariah 50 Index,500124,DR.REDDY'S L, 0.75 ,Healthcare
BSE TASIS Shariah 50 Index,532500,MARUTISUZUK, 0.50 ,Transport Equipments
BSE TASIS Shariah 50 Index,500087,CIPLA LTD., 0.65 ,Healthcare
BSE TASIS Shariah 50 Index,500820,ASIAN PAINTS, 0.50 ,Chemical & Petrochemical
BSE TASIS Shariah 50 Index,532538,ULTRATECH CM, 0.40 ,Housing Related
BSE TASIS Shariah 50 Index,500103,BHEL, 0.35 ,Capital Goods
BSE TASIS Shariah 50 Index,500790,NESTLE LTD, 0.40 ,FMCG
BSE TASIS Shariah 50 Index,532155,GAIL INDIA, 0.40 ,Oil & Gas
BSE TASIS Shariah 50 Index,500182,HEROMOTOCO, 0.50 ,Transport Equipments
BSE TASIS Shariah 50 Index,500257,LUPIN LTD, 0.55 ,Healthcare
BSE TASIS Shariah 50 Index,500425,AMBUJA CEME, 0.50 ,Housing Related
BSE TASIS Shariah 50 Index,500410,ACC LTD, 0.50 ,Housing Related
BSE TASIS Shariah 50 Index,500114,TITAN IND., 0.50 ,Consumer Durables
BSE TASIS Shariah 50 Index,500830,COLGATE PALM, 0.50 ,FMCG
BSE TASIS Shariah 50 Index,500676,GLAXOSMI CON, 0.60 ,FMCG
BSE TASIS Shariah 50 Index,532424,GODREJ CONS, 0.35 ,FMCG
BSE TASIS Shariah 50 Index,500376,SATYAM COMP, 0.60 ,Information Technology
BSE TASIS Shariah 50 Index,500096,DABUR INDIA, 0.35 ,FMCG
BSE TASIS Shariah 50 Index,500295,SESA GOA LTD, 0.45 ,"Metal,Metal Products & Mining"
BSE TASIS Shariah 50 Index,532296,GLENMARK PHA, 0.55 ,Healthcare
BSE TASIS Shariah 50 Index,500480,CUMMINS INDI, 0.50 ,Transport Equipments
BSE TASIS Shariah 50 Index,532488,Divi's Lab, 0.50 ,Healthcare
BSE TASIS Shariah 50 Index,500550,SIEMENS LTD, 0.30 ,Capital Goods
BSE TASIS Shariah 50 Index,500800,TATAGLOBAL, 0.65 ,FMCG
BSE TASIS Shariah 50 Index,508869,APOLLO HOS E, 0.55 ,Healthcare
BSE TASIS Shariah 50 Index,500113,STEEL AUTHOR, 0.15 ,"Metal,Metal Products & Mining"
BSE TASIS Shariah 50 Index,532755,TECH MAH, 0.45 ,Information Technology
BSE TASIS Shariah 50 Index,532321,CADILA HEALT, 0.30 ,Healthcare
BSE TASIS Shariah 50 Index,500870,CASTROL INDI, 0.30 ,Oil & Gas
BSE TASIS Shariah 50 Index,500093,CROMPTON GRE, 0.60 ,Capital Goods
BSE TASIS Shariah 50 Index,500002,ABB LTD, 0.25 ,Capital Goods
BSE TASIS Shariah 50 Index,500290,M.R.F LTD, 0.60 ,Transport Equipments
BSE TASIS Shariah 50 Index,500331,PIDILITE IND, 0.30 ,Chemical & Petrochemical
BSE TASIS Shariah 50 Index,500411,THERMAX LMTD, 0.40 ,Capital Goods
BSE TASIS Shariah 50 Index,500043,BATA INDI LT, 0.50 ,FMCG
BSE TASIS Shariah 50 Index,531162,EMAMI LIMITE, 0.30 ,FMCG
BSE TASIS Shariah 50 Index,517354,HAVELLSINDIA, 0.30 ,Capital Goods
BSE TASIS Shariah 50 Index,532819,MINDTREE LTD, 0.85 ,Information Technology
BSE TASIS Shariah 50 Index,500575,VOLTAS LTD, 0.70 ,Diversified
BSE TASIS Shariah 50 Index,532523,BIOCON LTD, 0.40 ,Healthcare
BSE TASIS Shariah 50 Index,532654,MCLEOD RUSSE, 0.55 ,FMCG
BSE TASIS Shariah 50 Index,500084,CESC LTD, 0.50 ,Power
BSE TASIS Shariah 50 Index,532514,INDRA GAS, 0.50 ,Oil & Gas
BSE-GREENEX,500875,I T C LTD, 0.70 ,FMCG
BSE-GREENEX,532174,ICICI BANK L, 1.00 ,Finance
BSE-GREENEX,500209,INFOSYS LTD, 0.85 ,Information Technology
BSE-GREENEX,500010,HOUSING DEVE, 1.00 ,Finance
BSE-GREENEX,500510,LARSEN & TOU, 0.90 ,Capital Goods
BSE-GREENEX,500570,TATA MOTORS, 0.70 ,Transport Equipments
BSE-GREENEX,500696,HIND UNI LT, 0.50 ,FMCG
BSE-GREENEX,500520,MAHINDRA & M, 0.75 ,Transport Equipments
BSE-GREENEX,532454,BHARTI ARTL, 0.35 ,Telecom
BSE-GREENEX,532977,BAJAJ AUTO, 0.50 ,Transport Equipments
BSE-GREENEX,500470,TATA STL, 0.70 ,"Metal,Metal Products & Mining"
BSE-GREENEX,532555,NTPC LTD, 0.20 ,Power
BSE-GREENEX,500124,DR.REDDY'S L, 0.75 ,Healthcare
BSE-GREENEX,532500,MARUTISUZUK, 0.50 ,Transport Equipments
BSE-GREENEX,500087,CIPLA LTD., 0.65 ,Healthcare
BSE-GREENEX,532538,ULTRATECH CM, 0.40 ,Housing Related
BSE-GREENEX,500103,BHEL, 0.35 ,Capital Goods
BSE-GREENEX,532155,GAIL INDIA, 0.40 ,Oil & Gas
BSE-GREENEX,500182,HEROMOTOCO, 0.50 ,Transport Equipments
BSE-GREENEX,500400,TATA POWER, 0.70 ,Power
BSE-GREENEX,500900,STERLITE IN, 0.45 ,"Metal,Metal Products & Mining"
BSE-GREENEX,500257,LUPIN LTD, 0.55 ,Healthcare
BSE-GREENEX,500114,TITAN IND., 0.50 ,Consumer Durables
BSE-GREENEX,532868,DLF LIMITED, 0.25 ,Housing Related
BSE-GREENEX,500390,REL INFRA, 0.55 ,Power
BSE SME IPO Index,534422,MONARCH HEAL, 0.75 ,Healthcare
BSE SME IPO Index,534563,MAX ALERT, 0.45 ,Capital Goods
BSE SME IPO Index,534731,BRONZE INFRA, 0.50 ,Capital Goods
BSE SME IPO Index,534109,BCB FINANCE, 0.35 ,Finance
BSE SME IPO Index,534691,COMFORT COM, 0.60 ,Finance
BSE SME IPO Index,534680,SRG HFL, 0.40 ,Finance
BSE SME IPO Index,534707,ANSHUS CLOTH, 0.35 ,Consumer Durables
BSE SME IPO Index,534659,JOINTECA ED, 0.40 ,Information Technology
BSE SME IPO Index,534618,SANGAM ADV, 0.40 ,Finance
BSE SME IPO Index,534708,RCL RETAIL, 0.35 ,Miscellaneous
BSE SME IPO Index,534623,JUPITER INFO, 0.40 ,Miscellaneous
BSE CARBONEX,500875,I T C LTD, 0.70 ,FMCG
BSE CARBONEX,500325,RELIANCE, 0.55 ,Oil & Gas
BSE CARBONEX,532174,ICICI BANK L, 1.00 ,Finance
BSE CARBONEX,500209,INFOSYS LTD, 0.85 ,Information Technology
BSE CARBONEX,500180,HDFC BANK LT, 0.80 ,Finance
BSE CARBONEX,500010,HOUSING DEVE, 1.00 ,Finance
BSE CARBONEX,500510,LARSEN & TOU, 0.90 ,Capital Goods
BSE CARBONEX,532540,TCS LTD., 0.30 ,Information Technology
BSE CARBONEX,500112,STATE BANK O, 0.40 ,Finance
BSE CARBONEX,500312,ONG CORP LTD, 0.25 ,Oil & Gas
BSE CARBONEX,500570,TATA MOTORS, 0.70 ,Transport Equipments
BSE CARBONEX,500696,HIND UNI LT, 0.50 ,FMCG
BSE CARBONEX,500520,MAHINDRA & M, 0.75 ,Transport Equipments
BSE CARBONEX,532454,BHARTI ARTL, 0.35 ,Telecom
BSE CARBONEX,532215,AXIS BANK, 0.65 ,Finance
BSE CARBONEX,524715,SUN PHARMACE, 0.40 ,Healthcare
BSE CARBONEX,532977,BAJAJ AUTO, 0.50 ,Transport Equipments
BSE CARBONEX,500470,TATA STL, 0.70 ,"Metal,Metal Products & Mining"
BSE CARBONEX,507685,WIPRO LTD., 0.25 ,Information Technology
BSE CARBONEX,500247,KOTAK BANK, 0.55 ,Finance
BSE CARBONEX,532555,NTPC LTD, 0.20 ,Power
BSE CARBONEX,500124,DR.REDDY'S L, 0.75 ,Healthcare
BSE CARBONEX,533278,COAL INDIA, 0.10 ,"Metal,Metal Products & Mining"
BSE CARBONEX,532500,MARUTISUZUK, 0.50 ,Transport Equipments
BSE CARBONEX,532792,CAIRN IND, 0.35 ,Oil & Gas
BSE CARBONEX,532659,IDFC, 0.85 ,Finance
BSE CARBONEX,500087,CIPLA LTD., 0.65 ,Healthcare
BSE CARBONEX,500820,ASIAN PAINTS, 0.50 ,Chemical & Petrochemical
BSE CARBONEX,532538,ULTRATECH CM, 0.40 ,Housing Related
BSE CARBONEX,500103,BHEL, 0.35 ,Capital Goods
BSE CARBONEX,500300,GRASIM INDUS, 0.70 ,Textile
BSE CARBONEX,500790,NESTLE LTD, 0.40 ,FMCG
BSE CARBONEX,532155,GAIL INDIA, 0.40 ,Oil & Gas
BSE CARBONEX,500182,HEROMOTOCO, 0.50 ,Transport Equipments
BSE CARBONEX,532898,POWER GRID, 0.35 ,Power
BSE CARBONEX,532187,INDUS IND BK, 0.80 ,Finance
BSE CARBONEX,532286,JINDAL STEEL, 0.45 ,"Metal,Metal Products & Mining"
BSE CARBONEX,500400,TATA POWER, 0.70 ,Power
BSE CARBONEX,532281,HCL TECHNO, 0.40 ,Information Technology
BSE CARBONEX,500900,STERLITE IN, 0.45 ,"Metal,Metal Products & Mining"
BSE CARBONEX,532432,UNITD SPR, 0.70 ,FMCG
BSE CARBONEX,500440,HINDALCO IN, 0.70 ,"Metal,Metal Products & Mining"
BSE CARBONEX,532134,BANK OF BARO, 0.45 ,Finance
BSE CARBONEX,500257,LUPIN LTD, 0.55 ,Healthcare
BSE CARBONEX,500425,AMBUJA CEME, 0.50 ,Housing Related
BSE CARBONEX,532648,YES BANK, 0.75 ,Finance
BSE CARBONEX,505537,ZEE ENTER, 0.60 ,Media & Publishing
BSE CARBONEX,500410,ACC LTD, 0.50 ,Housing Related
BSE CARBONEX,526371,NMDC LTD, 0.20 ,"Metal,Metal Products & Mining"
BSE CARBONEX,500114,TITAN IND., 0.50 ,Consumer Durables
BSE CARBONEX,532461,PUNJAB NATBK, 0.40 ,Finance
BSE CARBONEX,532532,JAIPRAK ASSO, 0.55 ,Housing Related
BSE CARBONEX,500547,BHARAT PETRO, 0.40 ,Oil & Gas
