LIST AS ON,10-Jan-13,,,
INDEX NAME,SCRIP CODE,NAME, FREE FLOAT FACTOR ,INDUSTRY
BSE-500,517326,CMC LTD, 0.50 ,Information Technology
BSE-500,530005,INDIA CEMENT, 0.75 ,Housing Related
BSE-500,531213,MANAP FIN, 0.60 ,Finance
BSE-500,531500,RAJESH EXPOT, 0.50 ,Consumer Durables
BSE-500,532129,HEXAWARE LTD, 0.75 ,Information Technology
BSE-500,532181,GUJ MIN DEVL, 0.30 ,"Metal,Metal Products & Mining"
BSE-500,532210,CITY UNION B, 0.85 ,Finance
BSE-500,532388,INDIAN OVERS, 0.30 ,Finance
BSE-500,532391,OPTO CIRCUIT, 0.75 ,Healthcare
BSE-500,532654,MCLEOD RUSSE, 0.55 ,FMCG
BSE-500,532798,NTWK MED INV, 0.45 ,Finance
BSE-500,532805,REDINGTON, 0.60 ,Information Technology
BSE-500,500109,MANGALORE RE, 0.15 ,Oil & Gas
BSE-500,500125,EID PARRY, 0.55 ,Agriculture
BSE-500,500252,LAKSHMI MA W, 0.65 ,Capital Goods
BSE-500,500420,TORRENT PHAR, 0.30 ,Healthcare
BSE-500,500483,TATA COMM, 0.25 ,Telecom
BSE-500,500690,GUJARAT STAT, 0.60 ,Agriculture
BSE-500,509930,SUPREM IND, 0.50 ,Chemical & Petrochemical
BSE-500,511288,GRUH FINANC, 0.45 ,Finance
BSE-500,513375,CARBO UNIVER, 0.60 ,Capital Goods
BSE-500,530019,JUBILANT, 0.50 ,Healthcare
BSE-500,532121,DENA BANK, 0.40 ,Finance
BSE-500,532234,NAT ALUM CO, 0.15 ,"Metal,Metal Products & Mining"
BSE-500,532505,UCO BANK, 0.35 ,Finance
BSE-500,532514,INDRA GAS, 0.50 ,Oil & Gas
BSE-500,532524,PTC INDIA, 0.85 ,Power
BSE-500,532636,IND INFOLINE, 0.70 ,Finance
BSE-500,532667,SUZLONENERGY, 0.50 ,Capital Goods
BSE-500,532777,INFO EDGE, 0.50 ,Miscellaneous
