"INDHOTEL.BO","INE053A01029",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"HINDPETRO.BO","INE094A01015",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"BHARATFORG.BO","INE465A01025",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"UNIONBANK.BO","INE692A01016",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"GAIL.BO","INE129A01019",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"ONGC.BO","INE213A01029",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"GSKCONS.BO","INE264A01014",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"TATASTEEL.BO","INE081A01012",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"ASIANPAINT.BO","INE021A01018",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"ABIRLANUVO.BO","INE069A01017",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"UNIPHOS.BO","INE628A01036",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"BPCL.BO","INE029A01011",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"ZEEL.BO","INE256A01028",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"RPOWER.BO","INE614G01033",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"DABUR.BO","INE016A01026",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"EXIDEIND.BO","INE302A01020",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"GODREJCP.BO","INE102D01028",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
"ADANIPORTS.BO","INE742F01042",1.00000,1.00,0.00,"NSEINDICES,CNX100:NSE,NIFTY:NSE",0,"2013-01-20","INR",,1.0000
